,carpark_number,update_datetime,id,total_lots,lot_type,lots_available,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
19,PM27,2021-04-14T23:33:27,19,308,C,73,0.738230519,0.758928571,0.77150974,0.775974026,0.782873377,0.781655844,0.75974026,0.681006494,0.551136364,0.439935065,0.395292208,0.368912338,0.353896104,0.330762987,0.337256494,0.339691558,0.351461039,0.362418831,0.377840909,0.450081169,0.537337662,0.590503247,0.632711039,0.681006494
20,PM28,2021-04-14T23:33:20,20,302,C,77,0.744619205,0.756208609,0.764486755,0.767384106,0.774006623,0.772350993,0.768625828,0.711092715,0.574917219,0.504139073,0.454470199,0.42384106,0.396109272,0.381622517,0.389486755,0.409354305,0.405629139,0.42218543,0.44205298,0.494619205,0.570778146,0.599751656,0.655215232,0.705711921
21,TM36,2021-04-14T23:33:23,21,221,C,39,0.815045249,0.826923077,0.82918552,0.829751131,0.82861991,0.830316742,0.818438914,0.727941176,0.567307692,0.464366516,0.444004525,0.437782805,0.397624434,0.390837104,0.359162896,0.389705882,0.403280543,0.402149321,0.428733032,0.497171946,0.585972851,0.65780543,0.734728507,0.778280543
22,TM37,2021-04-14T23:33:35,22,238,C,65,0.732668067,0.744222689,0.75052521,0.753151261,0.761554622,0.756302521,0.74737395,0.642331933,0.460609244,0.356617647,0.333508403,0.31039916,0.275210084,0.264705882,0.264180672,0.292542017,0.293067227,0.318802521,0.339285714,0.399159664,0.478466387,0.565651261,0.633928571,0.695903361
23,T50,2021-04-14T23:33:42,23,362,C,98,0.762776243,0.773825967,0.777279006,0.778660221,0.781077348,0.783839779,0.785911602,0.697859116,0.598411602,0.493093923,0.434392265,0.416781768,0.406077348,0.416781768,0.39468232,0.408494475,0.413674033,0.432665746,0.459944751,0.55179558,0.621892265,0.648135359,0.681975138,0.716505525
24,T51,2021-04-14T23:33:34,24,351,C,50,0.876424501,0.903846154,0.92022792,0.930911681,0.934472934,0.927706553,0.920940171,0.823717949,0.687678063,0.586182336,0.53454416,0.508190883,0.496794872,0.5,0.476851852,0.49002849,0.49002849,0.530270655,0.550925926,0.638888889,0.717236467,0.752136752,0.781339031,0.836182336
25,TM43,2021-04-14T23:33:32,25,249,C,178,0.262048193,0.264558233,0.270582329,0.27560241,0.28062249,0.280120482,0.287148594,0.28062249,0.309738956,0.285140562,0.298192771,0.295682731,0.337349398,0.430722892,0.356927711,0.315261044,0.295180723,0.296184739,0.306726908,0.311746988,0.333333333,0.278614458,0.240461847,0.245481928
26,T15,2021-04-14T23:33:29,26,30,C,7,0.583333333,0.620833333,0.575,0.6125,0.7,0.741666667,0.866666667,0.970833333,1,1,0.966666667,0.8875,0.9875,0.995833333,0.958333333,0.829166667,0.795833333,0.954166667,0.970833333,0.983333333,0.995833333,0.9875,0.820833333,0.616666667
27,T16,2021-04-14T23:33:19,27,107,C,27,0.744158879,0.771028037,0.802570093,0.821261682,0.829439252,0.851635514,0.862149533,0.712616822,0.724299065,0.643691589,0.559579439,0.549065421,0.546728972,0.578271028,0.606308411,0.509345794,0.535046729,0.531542056,0.64953271,0.737149533,0.781542056,0.764018692,0.728971963,0.73364486
28,T17,2021-04-14T23:33:33,28,245,C,81,0.625,0.620408163,0.625,0.622959184,0.612244898,0.616836735,0.607653061,0.590306122,0.591326531,0.566836735,0.599489796,0.590816327,0.567346939,0.625,0.644897959,0.577040816,0.624489796,0.654591837,0.731632653,0.742857143,0.779591837,0.785714286,0.695408163,0.655102041
29,T18,2021-04-14T23:33:40,29,84,C,39,0.425595238,0.412202381,0.398809524,0.400297619,0.46875,0.50297619,0.516369048,0.592261905,0.858630952,0.882440476,0.910714286,0.96875,0.995535714,0.994047619,0.991071429,0.967261905,0.97172619,0.953869048,0.946428571,0.956845238,0.958333333,0.922619048,0.680059524,0.526785714
30,B9,2021-04-14T23:33:23,30,197,C,88,0.550126904,0.570431472,0.579314721,0.595812183,0.604695431,0.598350254,0.577411168,0.51713198,0.452411168,0.375,0.307106599,0.289974619,0.280456853,0.281091371,0.290609137,0.293147208,0.29251269,0.298857868,0.312817259,0.344543147,0.392766497,0.435279188,0.470812183,0.508883249
31,B10,2021-04-14T23:33:44,31,511,C,137,0.745107632,0.756849315,0.762720157,0.765900196,0.772749511,0.772015656,0.763454012,0.693248532,0.577299413,0.474559687,0.41927593,0.412915851,0.407778865,0.429549902,0.437133072,0.410225049,0.430283757,0.455968689,0.50464775,0.574608611,0.666829746,0.690313112,0.697407045,0.710616438
32,B14,2018-10-29T09:18:49,32,208,C,61,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769
33,WCB,2021-04-14T23:32:22,33,135,C,80,0.455555556,0.458333333,0.462037037,0.466666667,0.473148148,0.477777778,0.47962963,0.47037037,0.469444444,0.526851852,0.705555556,0.900925926,0.943518519,0.933333333,0.942592593,0.943518519,0.975925926,0.926851852,0.852777778,0.797222222,0.869444444,0.780555556,0.619444444,0.491666667
34,ACB,2021-04-14T23:35:02,34,96,C,62,0.36328125,0.358072917,0.359375,0.36328125,0.37890625,0.397135417,0.39453125,0.46484375,0.704427083,0.661458333,0.803385417,0.928385417,0.97265625,0.930989583,0.950520833,0.951822917,0.951822917,0.927083333,0.848958333,0.81640625,0.7890625,0.640625,0.446614583,0.3671875
35,CY,2021-04-14T23:35:02,35,40,C,8,0.73125,0.73125,0.746875,0.784375,0.678125,0.675,0.7375,0.90625,1,0.984375,1,0.9875,0.98125,1,0.965625,0.96875,0.95,0.971875,0.90625,0.915625,0.90625,0.878125,0.78125,0.70625
36,AM46,2021-04-14T23:38:39,36,408,C,43,0.863664216,0.875919118,0.880514706,0.885110294,0.893995098,0.894301471,0.886642157,0.776041667,0.65747549,0.547487745,0.513786765,0.484987745,0.465686275,0.454656863,0.461090686,0.468443627,0.47120098,0.495404412,0.534007353,0.570465686,0.65502451,0.728860294,0.78370098,0.832414216
37,A12,2021-04-14T23:36:44,37,205,C,104,0.511585366,0.524390244,0.533536585,0.53597561,0.536585366,0.531097561,0.521341463,0.489634146,0.401829268,0.360365854,0.330487805,0.31402439,0.317682927,0.311585366,0.303658537,0.281707317,0.303658537,0.321341463,0.33902439,0.35,0.403658537,0.417682927,0.450609756,0.473170732
