,carpark_number,update_datetime,id,total_lots,lot_type,lots_available,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
19,PM27,2021-04-11T23:25:46,19,308,C,78,0.746753247,0.767451299,0.77637987,0.782873377,0.792613636,0.789366883,0.773944805,0.687094156,0.581168831,0.456168831,0.410714286,0.374594156,0.362824675,0.340503247,0.34375,0.345779221,0.356331169,0.373782468,0.387581169,0.48538961,0.554383117,0.60349026,0.643668831,0.698457792
20,PM28,2021-04-11T23:25:57,20,302,C,80,0.756622517,0.775662252,0.776076159,0.779387417,0.784768212,0.78352649,0.778145695,0.726821192,0.572019868,0.497930464,0.461506623,0.4375,0.411423841,0.396109272,0.389900662,0.399834437,0.403559603,0.413907285,0.449503311,0.519039735,0.603890728,0.633278146,0.675910596,0.721440397
21,TM36,2021-04-11T23:25:56,21,221,C,43,0.808257919,0.816742081,0.824095023,0.825226244,0.82861991,0.825791855,0.816176471,0.727941176,0.558823529,0.455316742,0.426470588,0.411764706,0.392533937,0.38178733,0.354638009,0.395361991,0.391968326,0.394230769,0.416289593,0.516402715,0.581447964,0.661199095,0.728506787,0.781674208
22,TM37,2021-04-11T23:25:45,22,238,C,60,0.742647059,0.753676471,0.757352941,0.759453782,0.766806723,0.759978992,0.745798319,0.651785714,0.459033613,0.378151261,0.338235294,0.31512605,0.279936975,0.266806723,0.257352941,0.302521008,0.325105042,0.339285714,0.37342437,0.460609244,0.542016807,0.615021008,0.667016807,0.714285714
23,T50,2021-04-11T23:25:50,23,362,C,95,0.763121547,0.772099448,0.776588398,0.77589779,0.783149171,0.78660221,0.783149171,0.70269337,0.601864641,0.502417127,0.428867403,0.401243094,0.393646409,0.399171271,0.391229282,0.395718232,0.408149171,0.422651934,0.465124309,0.575276243,0.674033149,0.663674033,0.691643646,0.716850829
24,T51,2021-04-11T23:25:41,24,351,C,37,0.894586895,0.903133903,0.915242165,0.920584046,0.925569801,0.92022792,0.916666667,0.814102564,0.676638177,0.584401709,0.509615385,0.498219373,0.481125356,0.483262108,0.467948718,0.471866097,0.493945869,0.511396011,0.553418803,0.648148148,0.74465812,0.770655271,0.799145299,0.845797721
25,TM43,2021-04-11T23:25:56,25,249,C,192,0.256024096,0.261044177,0.265060241,0.264558233,0.271586345,0.275100402,0.274598394,0.271084337,0.277108434,0.279116466,0.295682731,0.305220884,0.334839357,0.430220884,0.347891566,0.327811245,0.307730924,0.288654618,0.289156627,0.323293173,0.329317269,0.282630522,0.230923695,0.245481928
26,T15,2021-04-11T23:25:37,26,30,C,14,0.508333333,0.491666667,0.475,0.529166667,0.704166667,0.645833333,0.804166667,0.904166667,1,0.958333333,0.933333333,0.933333333,1,0.991666667,0.966666667,0.9625,0.933333333,0.9625,1,0.991666667,1,0.9375,0.779166667,0.604166667
27,T16,2021-04-11T23:25:52,27,107,C,35,0.721962617,0.755841121,0.772196262,0.785046729,0.815420561,0.823598131,0.824766355,0.716121495,0.675233645,0.65771028,0.538551402,0.543224299,0.533878505,0.575934579,0.586448598,0.502336449,0.519859813,0.509345794,0.598130841,0.747663551,0.783878505,0.79088785,0.815420561,0.77453271
28,T17,2021-04-11T23:25:46,28,245,C,96,0.632653061,0.613265306,0.615816327,0.619387755,0.618877551,0.616326531,0.611734694,0.596428571,0.589285714,0.55255102,0.598979592,0.637244898,0.633673469,0.704591837,0.680102041,0.639285714,0.626020408,0.661734694,0.741326531,0.780102041,0.762244898,0.800510204,0.714795918,0.655612245
