,carpark_number,update_datetime,id,total_lots,lot_type,lots_available,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
17,HG44,2021-04-12T23:49:15,17,143,C,23,0.84527972,0.770979021,0.747377622,0.670454545,0.867132867,0.960664336,0.98951049,1,1,1,0.981643357,0.995629371,1,0.999125874,0.977272727,0.958041958,0.967657343,0.983391608,0.942307692,0.980769231,0.969405594,0.986888112,0.950174825,0.972902098
18,HG64,2021-04-12T23:49:28,18,81,C,33,0.617283951,0.49382716,0.408950617,0.351851852,0.435185185,0.387345679,0.421296296,0.540123457,0.975308642,0.841049383,0.87191358,0.898148148,0.899691358,0.925925926,0.726851852,0.689814815,0.833333333,0.831790123,0.862654321,0.918209877,0.87037037,0.759259259,0.774691358,0.728395062
19,PM27,2021-04-12T23:49:19,19,308,C,82,0.736201299,0.761363636,0.772321429,0.778003247,0.780438312,0.780438312,0.765827922,0.694399351,0.572646104,0.466314935,0.424918831,0.397321429,0.367694805,0.350243506,0.341720779,0.336038961,0.352678571,0.358766234,0.369318182,0.467126623,0.551542208,0.60836039,0.644886364,0.696428571
20,PM28,2021-04-12T23:49:19,20,302,C,74,0.750827815,0.764072848,0.770281457,0.76986755,0.773592715,0.775662252,0.771523179,0.724751656,0.576572848,0.482201987,0.435844371,0.404801325,0.381622517,0.377897351,0.397350993,0.394453642,0.395281457,0.405215232,0.442880795,0.516142384,0.585264901,0.645695364,0.689155629,0.735513245
21,TM36,2021-04-12T23:49:20,21,221,C,44,0.807692308,0.819004525,0.825791855,0.826923077,0.832579186,0.825226244,0.817307692,0.740384615,0.555429864,0.472850679,0.438914027,0.417986425,0.402149321,0.382352941,0.368778281,0.41459276,0.421945701,0.422511312,0.436085973,0.520927602,0.626696833,0.698529412,0.753959276,0.799773756
22,TM37,2021-04-12T23:49:23,22,238,C,62,0.737394958,0.74947479,0.755777311,0.757352941,0.762605042,0.758403361,0.744747899,0.670693277,0.456407563,0.354516807,0.316701681,0.292016807,0.277836134,0.274159664,0.265231092,0.295168067,0.301995798,0.31407563,0.344012605,0.408613445,0.512079832,0.609768908,0.679096639,0.714810924
23,T50,2021-04-12T23:49:19,23,362,C,97,0.75621547,0.768301105,0.767265193,0.761049724,0.771063536,0.77140884,0.774861878,0.702348066,0.577002762,0.467541436,0.397099448,0.398825967,0.393301105,0.397790055,0.382251381,0.392265193,0.417472376,0.439571823,0.462016575,0.568024862,0.65538674,0.69371547,0.704074586,0.729627072
24,T51,2021-04-12T23:49:25,24,351,C,47,0.871794872,0.891381766,0.903133903,0.906695157,0.918091168,0.91488604,0.904558405,0.819088319,0.661680912,0.555555556,0.50997151,0.495014245,0.487179487,0.489316239,0.461182336,0.467236467,0.486823362,0.503561254,0.538817664,0.632834758,0.714031339,0.746082621,0.788817664,0.843660969
25,TM43,2021-04-12T23:49:28,25,249,C,179,0.256024096,0.261546185,0.264558233,0.270582329,0.273594378,0.274598394,0.276104418,0.277610442,0.300702811,0.291164659,0.290160643,0.312751004,0.34939759,0.419176707,0.348393574,0.30873494,0.311746988,0.310240964,0.299698795,0.333333333,0.34186747,0.28815261,0.240963855,0.235943775
26,T15,2021-04-12T23:49:05,26,30,C,9,0.5875,0.633333333,0.625,0.616666667,0.629166667,0.641666667,0.9,0.9875,1,1,0.9375,0.966666667,0.975,0.9875,0.9375,0.879166667,0.9125,0.991666667,1,1,1,0.9375,0.6875,0.520833333
27,T16,2021-04-12T23:49:28,27,107,C,28,0.761682243,0.781542056,0.804906542,0.828271028,0.841121495,0.862149533,0.873831776,0.72546729,0.728971963,0.683411215,0.570093458,0.575934579,0.566588785,0.588785047,0.60864486,0.521028037,0.539719626,0.531542056,0.635514019,0.744158879,0.740654206,0.76635514,0.771028037,0.72546729
28,T17,2021-04-12T23:49:07,28,245,C,104,0.610204082,0.616836735,0.609183673,0.604081633,0.60255102,0.606122449,0.609183673,0.587755102,0.609183673,0.573469388,0.575,0.605102041,0.616326531,0.670918367,0.690306122,0.633673469,0.614795918,0.648469388,0.678571429,0.714795918,0.743367347,0.760204082,0.692857143,0.631632653
29,T18,2021-04-12T23:49:31,29,84,C,43,0.49702381,0.479166667,0.443452381,0.449404762,0.574404762,0.578869048,0.595238095,0.647321429,0.956845238,0.96875,0.99702381,1,1,0.995535714,0.977678571,0.988095238,0.970238095,0.982142857,0.96875,0.97172619,0.96577381,0.928571429,0.629464286,0.47172619
30,B9,2021-04-12T23:49:15,30,197,C,94,0.525380711,0.532994924,0.55393401,0.562817259,0.567893401,0.569162437,0.553299492,0.486675127,0.416243655,0.337563452,0.294416244,0.284263959,0.277918782,0.270304569,0.279822335,0.276649746,0.29822335,0.312817259,0.328045685,0.351522843,0.409898477,0.432106599,0.486675127,0.521573604
31,B10,2021-04-12T23:49:27,31,511,C,125,0.742661448,0.753913894,0.754158513,0.764432485,0.771037182,0.772504892,0.760518591,0.690313112,0.591242661,0.482876712,0.436154599,0.416829746,0.424902153,0.471868885,0.473336595,0.417318982,0.43297456,0.442270059,0.468688845,0.564823875,0.646771037,0.687377691,0.712573386,0.729207436
32,B14,2018-10-29T09:18:49,32,208,C,61,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769,0.706730769
33,WCB,2021-04-12T23:51:24,33,135,C,78,0.441666667,0.450925926,0.448148148,0.45462963,0.466666667,0.47037037,0.474074074,0.458333333,0.458333333,0.511111111,0.625,0.886111111,0.983333333,0.986111111,0.925925926,0.975,0.967592593,0.940740741,0.857407407,0.778703704,0.788888889,0.723148148,0.596296296,0.512962963
34,ACB,2021-04-12T23:48:47,34,96,C,61,0.388020833,0.395833333,0.395833333,0.397135417,0.404947917,0.403645833,0.404947917,0.446614583,0.653645833,0.69140625,0.765625,0.962239583,0.950520833,0.919270833,0.90234375,0.88671875,0.907552083,0.90234375,0.850260417,0.755208333,0.712239583,0.587239583,0.436197917,0.3984375
35,CY,2021-04-12T23:48:47,35,40,C,10,0.671875,0.690625,0.696875,0.734375,0.696875,0.71875,0.7625,0.9,0.9875,0.896875,0.940625,0.965625,0.9375,0.95625,0.934375,1,0.99375,0.965625,0.975,0.984375,0.984375,0.965625,0.828125,0.73125
